,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
94,2021-08-06,3418.0912630170383,3240.8469162503775,3606.5358039684415,3418.0912630170383,3418.0912630170383,17.417361652805155,17.417361652805155,17.417361652805155,17.417361652805155,17.417361652805155,17.417361652805155,0.0,0.0,0.0,3435.5086246698434
95,2021-08-09,3417.3464860004287,3261.40978193585,3608.7377990229375,3417.3464860004287,3417.3464860004287,15.795904411616311,15.795904411616311,15.795904411616311,15.795904411616311,15.795904411616311,15.795904411616311,0.0,0.0,0.0,3433.142390412045
96,2021-08-10,3417.0982269948927,3249.6337564821633,3614.751074182472,3417.0982269948927,3417.0982269948927,24.877911174320523,24.877911174320523,24.877911174320523,24.877911174320523,24.877911174320523,24.877911174320523,0.0,0.0,0.0,3441.9761381692133
97,2021-08-11,3416.849967989356,3267.5413635368036,3620.7426630842633,3416.849967989356,3416.849967989356,24.3729977865769,24.3729977865769,24.3729977865769,24.3729977865769,24.3729977865769,24.3729977865769,0.0,0.0,0.0,3441.222965775933
98,2021-08-12,3416.6017090817554,3267.4342589600333,3620.759797072225,3416.6017090817554,3416.6017090817554,23.731277693939596,23.731277693939596,23.731277693939596,23.731277693939596,23.731277693939596,23.731277693939596,0.0,0.0,0.0,3440.332986775695
99,2021-08-13,3416.353450174155,3256.9890132493324,3621.9434584943306,3416.353450174155,3416.353450174155,17.41736165275722,17.41736165275722,17.41736165275722,17.41736165275722,17.41736165275722,17.41736165275722,0.0,0.0,0.0,3433.7708118269124
100,2021-08-16,3415.6086734513533,3257.4200201938193,3602.763328835322,3415.6086734513533,3415.6086734513533,15.795904411623694,15.795904411623694,15.795904411623694,15.795904411623694,15.795904411623694,15.795904411623694,0.0,0.0,0.0,3431.404577862977
101,2021-08-17,3415.3604145437525,3273.8262827090093,3624.180165721117,3415.3604145437525,3415.3604145437525,24.877911174305606,24.877911174305606,24.877911174305606,24.877911174305606,24.877911174305606,24.877911174305606,0.0,0.0,0.0,3440.238325718058
102,2021-08-18,3415.112155636152,3261.030742681011,3615.3625638617,3415.112155636152,3415.112155636152,24.37299778658025,24.37299778658025,24.37299778658025,24.37299778658025,24.37299778658025,24.37299778658025,0.0,0.0,0.0,3439.485153422732
103,2021-08-19,3414.863896728551,3259.0489292668035,3634.8254305719825,3414.863896728551,3414.863896728551,23.73127769395349,23.73127769395349,23.73127769395349,23.73127769395349,23.73127769395349,23.73127769395349,0.0,0.0,0.0,3438.5951744225044
104,2021-08-20,3414.6156378209503,3258.608515227074,3604.190419415523,3414.6156378209503,3414.6156378209503,17.41736165274749,17.41736165274749,17.41736165274749,17.41736165274749,17.41736165274749,17.41736165274749,0.0,0.0,0.0,3432.0329994736976
105,2021-08-23,3413.8708610981485,3238.7252958464983,3613.072260827893,3413.8708610981485,3413.8708610981485,15.795904411716641,15.795904411716641,15.795904411716641,15.795904411716641,15.795904411716641,15.795904411716641,0.0,0.0,0.0,3429.666765509865
106,2021-08-24,3413.6278574010807,3259.210560198738,3616.112775041213,3413.6278574010807,3413.6278574010807,24.87791117429067,24.87791117429067,24.87791117429067,24.87791117429067,24.87791117429067,24.87791117429067,0.0,0.0,0.0,3438.5057685753713
107,2021-08-25,3413.384853704013,3262.4022684012566,3608.592428126104,3413.384853704013,3413.384853704013,24.372997786576857,24.372997786576857,24.372997786576857,24.372997786576857,24.372997786576857,24.372997786576857,0.0,0.0,0.0,3437.75785149059
108,2021-08-26,3413.141850006946,3254.63827434358,3613.879362096316,3413.141850006946,3413.141850006946,23.73127769391491,23.73127769391491,23.73127769391491,23.73127769391491,23.73127769391491,23.73127769391491,0.0,0.0,0.0,3436.8731277008606
109,2021-08-27,3412.898846309878,3258.136155918162,3617.988774441158,3412.898846309878,3412.898846309878,17.41736165273776,17.41736165273776,17.41736165273776,17.41736165273776,17.41736165273776,17.41736165273776,0.0,0.0,0.0,3430.316207962616
110,2021-08-30,3412.1698352186745,3257.967587613834,3605.573907409105,3412.1698352186745,3412.1698352186745,15.795904411724008,15.795904411724008,15.795904411724008,15.795904411724008,15.795904411724008,15.795904411724008,0.0,0.0,0.0,3427.9657396303987
111,2021-08-31,3411.926831521607,3257.122888152417,3621.0775213866445,3411.926831521607,3411.926831521607,24.877911174301527,24.877911174301527,24.877911174301527,24.877911174301527,24.877911174301527,24.877911174301527,0.0,0.0,0.0,3436.8047426959083
112,2021-09-01,3411.6838278245395,3243.3860854835375,3609.5302378995902,3411.6838278245395,3411.6838278245395,24.3729977865808,24.3729977865808,24.3729977865808,24.3729977865808,24.3729977865808,24.3729977865808,0.0,0.0,0.0,3436.0568256111205
113,2021-09-02,3411.440824127472,3257.6248389692073,3608.520665638387,3411.440824127472,3411.440824127472,23.73127769390963,23.73127769390963,23.73127769390963,23.73127769390963,23.73127769390963,23.73127769390963,0.0,0.0,0.0,3435.1721018213816
114,2021-09-03,3411.1978204994207,3250.0148057869023,3607.81366836319,3411.1978204994207,3411.1978204994207,17.41736165265161,17.41736165265161,17.41736165265161,17.41736165265161,17.41736165265161,17.41736165265161,0.0,0.0,0.0,3428.6151821520725
115,2021-09-07,3410.225805987215,3267.8621101400227,3607.7435717472686,3410.225805987215,3410.225805987215,24.87791117426081,24.87791117426081,24.87791117426081,24.87791117426081,24.87791117426081,24.87791117426081,0.0,0.0,0.0,3435.1037171614757
116,2021-09-08,3409.982802359164,3243.201702293275,3622.649754911605,3409.982802359164,3409.982802359164,24.372997786577415,24.372997786577415,24.372997786577415,24.372997786577415,24.372997786577415,24.372997786577415,0.0,0.0,0.0,3434.3558001457413
117,2021-09-09,3409.7397987311124,3251.178204557158,3610.600679302266,3409.7397987311124,3409.7397987311124,23.731277693942687,23.731277693942687,23.731277693942687,23.731277693942687,23.731277693942687,23.731277693942687,0.0,0.0,0.0,3433.471076425055
118,2021-09-10,3409.496795103061,3242.249410047492,3606.593817050037,3409.496795103061,3409.496795103061,17.41736165264189,17.41736165264189,17.41736165264189,17.41736165264189,17.41736165264189,17.41736165264189,0.0,0.0,0.0,3426.9141567557026
119,2021-09-13,3408.767784218907,3249.837963683224,3613.8177743001656,3408.767784218907,3408.767784218907,15.79590441155893,15.79590441155893,15.79590441155893,15.79590441155893,15.79590441155893,15.79590441155893,0.0,0.0,0.0,3424.563688630466
120,2021-09-14,3408.5247805908557,3260.880846989394,3624.9211758691968,3408.5247805908557,3408.5247805908557,24.87791117432156,24.87791117432156,24.87791117432156,24.87791117432156,24.87791117432156,24.87791117432156,0.0,0.0,0.0,3433.402691765177
121,2021-09-15,3408.281776962804,3263.82236075913,3617.299526184637,3408.281776962804,3408.281776962804,24.372997786577685,24.372997786577685,24.372997786577685,24.372997786577685,24.372997786577685,24.372997786577685,0.0,0.0,0.0,3432.654774749382
122,2021-09-16,3408.0430745477365,3257.9742802726646,3604.6948277444885,3408.0430745477365,3408.0430745477365,23.73127769393741,23.73127769393741,23.73127769393741,23.73127769393741,23.73127769393741,23.73127769393741,0.0,0.0,0.0,3431.774352241674
123,2021-09-17,3407.804372132669,3249.5106600074223,3593.4782158297053,3407.804372132669,3407.804372132669,17.417361652810058,17.417361652810058,17.417361652810058,17.417361652810058,17.417361652810058,17.417361652810058,0.0,0.0,0.0,3425.221733785479
124,2021-09-20,3407.0882648874663,3236.845091258817,3608.2081866865697,3407.0882648874663,3407.0882648874663,15.795904411651877,15.795904411651877,15.795904411651877,15.795904411651877,15.795904411651877,15.795904411651877,0.0,0.0,0.0,3422.884169299118
125,2021-09-21,3406.8495624723987,3261.320387005086,3617.8240898235913,3406.8495624723987,3406.8495624723987,24.877911174332414,24.877911174332414,24.877911174332414,24.877911174332414,24.877911174332414,24.877911174332414,0.0,0.0,0.0,3431.727473646731
126,2021-09-22,3406.610860057331,3262.9131302367227,3612.2583563623994,3406.610860057331,3406.610860057331,24.37299778658104,24.37299778658104,24.37299778658104,24.37299778658104,24.37299778658104,24.37299778658104,0.0,0.0,0.0,3430.983857843912
127,2021-09-23,3406.3721576422636,3252.0791151469175,3618.322179740331,3406.3721576422636,3406.3721576422636,23.731277693951302,23.731277693951302,23.731277693951302,23.731277693951302,23.731277693951302,23.731277693951302,0.0,0.0,0.0,3430.1034353362147
128,2021-09-24,3406.1334552271956,3238.2746427634606,3585.6788038012023,3406.1334552271956,3406.1334552271956,17.41736165276212,17.41736165276212,17.41736165276212,17.41736165276212,17.41736165276212,17.41736165276212,0.0,0.0,0.0,3423.550816879958
129,2021-09-27,3405.417347981993,3242.0857378448154,3593.3226720537727,3405.417347981993,3405.417347981993,15.795904411659253,15.795904411659253,15.795904411659253,15.795904411659253,15.795904411659253,15.795904411659253,0.0,0.0,0.0,3421.213252393652
130,2021-09-28,3405.187809129843,3270.6015811108186,3621.195704920622,3405.187809129843,3405.187809129843,24.877911174317482,24.877911174317482,24.877911174317482,24.877911174317482,24.877911174317482,24.877911174317482,0.0,0.0,0.0,3430.0657203041605
131,2021-09-29,3404.958270277694,3254.274603673306,3608.627963793579,3404.958270277694,3404.958270277694,24.372997786581315,24.372997786581315,24.372997786581315,24.372997786581315,24.372997786581315,24.372997786581315,0.0,0.0,0.0,3429.3312680642753
132,2021-09-30,3404.728731425544,3263.09354765272,3596.436991307257,3404.728731425544,3404.728731425544,23.731277693946023,23.731277693946023,23.731277693946023,23.731277693946023,23.731277693946023,23.731277693946023,0.0,0.0,0.0,3428.46000911949
133,2021-10-01,3404.4991925733943,3246.073049906525,3616.3677436587236,3404.4991925733943,3404.4991925733943,17.417361652714177,17.417361652714177,17.417361652714177,17.417361652714177,17.417361652714177,17.417361652714177,0.0,0.0,0.0,3421.9165542261085
134,2021-10-04,3403.8105760169456,3233.066582123135,3589.9582337051775,3403.8105760169456,3403.8105760169456,15.795904411709415,15.795904411709415,15.795904411709415,15.795904411709415,15.795904411709415,15.795904411709415,0.0,0.0,0.0,3419.606480428655
135,2021-10-05,3403.581037164796,3244.741373243763,3612.8861509978897,3403.581037164796,3403.581037164796,24.877911174302554,24.877911174302554,24.877911174302554,24.877911174302554,24.877911174302554,24.877911174302554,0.0,0.0,0.0,3428.4589483390982
136,2021-10-06,3403.3514983126465,3251.381948970538,3606.268114671859,3403.3514983126465,3403.3514983126465,24.372997786577923,24.372997786577923,24.372997786577923,24.372997786577923,24.372997786577923,24.372997786577923,0.0,0.0,0.0,3427.7244960992243
137,2021-10-07,3403.121959460497,3254.2768624736914,3614.13919221743,3403.121959460497,3403.121959460497,23.73127769397908,23.73127769397908,23.73127769397908,23.73127769397908,23.73127769397908,23.73127769397908,0.0,0.0,0.0,3426.8532371544757
138,2021-10-08,3402.907866411551,3242.9841158956015,3598.5324174617663,3402.907866411551,3402.907866411551,17.41736165292056,17.41736165292056,17.41736165292056,17.41736165292056,17.41736165292056,17.41736165292056,0.0,0.0,0.0,3420.3252280644715
139,2021-10-11,3402.265587264713,3232.9431487205507,3597.1987553564263,3402.265587264713,3402.265587264713,15.79590441153696,15.79590441153696,15.79590441153696,15.79590441153696,15.79590441153696,15.79590441153696,0.0,0.0,0.0,3418.0614916762497
140,2021-10-12,3402.051494215767,3248.920437933012,3607.0070239797224,3402.051494215767,3402.051494215767,24.87791117428762,24.87791117428762,24.87791117428762,24.87791117428762,24.87791117428762,24.87791117428762,0.0,0.0,0.0,3426.9294053900544
141,2021-10-13,3401.8374011668207,3255.8628995278577,3614.3989286118554,3401.8374011668207,3401.8374011668207,24.37299778658187,24.37299778658187,24.37299778658187,24.37299778658187,24.37299778658187,24.37299778658187,0.0,0.0,0.0,3426.2103989534025
142,2021-10-14,3401.623308117875,3238.2399728683367,3606.0056912661516,3401.623308117875,3401.623308117875,23.731277693921335,23.731277693921335,23.731277693921335,23.731277693921335,23.731277693921335,23.731277693921335,0.0,0.0,0.0,3425.354585811796
143,2021-10-15,3401.409215068929,3238.6237330577924,3579.211677816563,3401.409215068929,3401.409215068929,17.417361652834416,17.417361652834416,17.417361652834416,17.417361652834416,17.417361652834416,17.417361652834416,0.0,0.0,0.0,3418.8265767217636
144,2021-10-18,3400.766935922091,3232.2973167956266,3600.3680266773617,3400.766935922091,3400.766935922091,15.795904411587118,15.795904411587118,15.795904411587118,15.795904411587118,15.795904411587118,15.795904411587118,0.0,0.0,0.0,3416.562840333678
145,2021-10-19,3400.552842873145,3247.219266087588,3602.2226913988943,3400.552842873145,3400.552842873145,24.87791117434837,24.87791117434837,24.87791117434837,24.87791117434837,24.87791117434837,24.87791117434837,0.0,0.0,0.0,3425.4307540474933
146,2021-10-20,3400.338749783255,3257.614964144552,3592.310790555234,3400.338749783255,3400.338749783255,24.37299778657848,24.37299778657848,24.37299778657848,24.37299778657848,24.37299778657848,24.37299778657848,0.0,0.0,0.0,3424.7117475698333
147,2021-10-21,3400.124656693365,3251.5136774875186,3595.0379717138558,3400.124656693365,3400.124656693365,23.731277693935226,23.731277693935226,23.731277693935226,23.731277693935226,23.731277693935226,23.731277693935226,0.0,0.0,0.0,3423.8559343873003
148,2021-10-22,3399.910563603475,3231.684289574172,3593.067239318,3399.910563603475,3399.910563603475,17.417361652824685,17.417361652824685,17.417361652824685,17.417361652824685,17.417361652824685,17.417361652824685,0.0,0.0,0.0,3417.3279252562997
149,2021-10-25,3399.2682843338052,3234.9877389595767,3591.2051566900814,3399.2682843338052,3399.2682843338052,15.795904411594497,15.795904411594497,15.795904411594497,15.795904411594497,15.795904411594497,15.795904411594497,0.0,0.0,0.0,3415.0641887454
150,2021-10-26,3399.0541912439153,3234.870234466173,3608.7525655887025,3399.0541912439153,3399.0541912439153,24.87791117430767,24.87791117430767,24.87791117430767,24.87791117430767,24.87791117430767,24.87791117430767,0.0,0.0,0.0,3423.932102418223
151,2021-10-27,3398.8400981540253,3247.2377879186038,3602.9976162340745,3398.8400981540253,3398.8400981540253,24.372997786575084,24.372997786575084,24.372997786575084,24.372997786575084,24.372997786575084,24.372997786575084,0.0,0.0,0.0,3423.2130959406004
152,2021-10-28,3398.6260050641354,3249.2559727112925,3591.654179197775,3398.6260050641354,3398.6260050641354,23.731277693949117,23.731277693949117,23.731277693949117,23.731277693949117,23.731277693949117,23.731277693949117,0.0,0.0,0.0,3422.3572827580847
153,2021-10-29,3398.4119119742454,3231.669745081619,3587.3011284608956,3398.4119119742454,3398.4119119742454,17.417361652776748,17.417361652776748,17.417361652776748,17.417361652776748,17.417361652776748,17.417361652776748,0.0,0.0,0.0,3415.8292736270223
154,2021-11-01,3397.7696327045755,3240.321886072299,3582.5027279985275,3397.7696327045755,3397.7696327045755,15.795904411687436,15.795904411687436,15.795904411687436,15.795904411687436,15.795904411687436,15.795904411687436,0.0,0.0,0.0,3413.565537116263
155,2021-11-02,3397.555539349106,3236.382075188865,3590.09833428481,3397.555539349106,3397.555539349106,24.877911174318516,24.877911174318516,24.877911174318516,24.877911174318516,24.877911174318516,24.877911174318516,0.0,0.0,0.0,3422.433450523424
156,2021-11-03,3397.3414459936357,3240.0370726917286,3604.338795437938,3397.3414459936357,3397.3414459936357,24.37299778657536,24.37299778657536,24.37299778657536,24.37299778657536,24.37299778657536,24.37299778657536,0.0,0.0,0.0,3421.7144437802112
157,2021-11-04,3397.1273526381656,3242.124232695765,3592.7766005185895,3397.1273526381656,3397.1273526381656,23.73127769391054,23.73127769391054,23.73127769391054,23.73127769391054,23.73127769391054,23.73127769391054,0.0,0.0,0.0,3420.8586303320762
158,2021-11-05,3396.9132592826954,3240.3809587439882,3582.4864513682955,3396.9132592826954,3396.9132592826954,17.417361652767024,17.417361652767024,17.417361652767024,17.417361652767024,17.417361652767024,17.417361652767024,0.0,0.0,0.0,3414.3306209354623
159,2021-11-08,3396.270979216285,3236.4227287427975,3579.8808794534157,3396.270979216285,3396.270979216285,15.795904411694819,15.795904411694819,15.795904411694819,15.795904411694819,15.795904411694819,15.795904411694819,0.0,0.0,0.0,3412.0668836279797
160,2021-11-09,3396.056885860815,3236.7899295253847,3611.8132836319114,3396.056885860815,3396.056885860815,24.877911174303584,24.877911174303584,24.877911174303584,24.877911174303584,24.877911174303584,24.877911174303584,0.0,0.0,0.0,3420.9347970351187
161,2021-11-10,3395.8427925053447,3246.100615713864,3586.7048487153106,3395.8427925053447,3395.8427925053447,24.37299778657871,24.37299778657871,24.37299778657871,24.37299778657871,24.37299778657871,24.37299778657871,0.0,0.0,0.0,3420.2157902919234
162,2021-11-11,3395.628699149875,3232.144500530108,3600.472451254459,3395.628699149875,3395.628699149875,23.731277693905266,23.731277693905266,23.731277693905266,23.731277693905266,23.731277693905266,23.731277693905266,0.0,0.0,0.0,3419.3599768437803
163,2021-11-12,3394.741799089557,3221.918115848765,3581.7884025619783,3394.741799089557,3394.741799089557,17.417361652680878,17.417361652680878,17.417361652680878,17.417361652680878,17.417361652680878,17.417361652680878,0.0,0.0,0.0,3412.159160742238
164,2021-11-15,3392.081098908604,3229.724982444408,3575.397039509455,3392.081098908604,3392.081098908604,15.795904411522363,15.795904411522363,15.795904411522363,15.795904411522363,15.795904411522363,15.795904411522363,0.0,0.0,0.0,3407.8770033201263
165,2021-11-16,3391.1941988482868,3239.170538471275,3593.912661003076,3391.1941988482868,3391.1941988482868,24.877911174288663,24.877911174288663,24.877911174288663,24.877911174288663,24.877911174288663,24.877911174288663,0.0,0.0,0.0,3416.0721100225755
166,2021-11-17,3390.307298787969,3235.465090041193,3592.175386114613,3390.307298787969,3390.307298787969,24.37299778657899,24.37299778657899,24.37299778657899,24.37299778657899,24.37299778657899,24.37299778657899,0.0,0.0,0.0,3414.6802965745483
167,2021-11-18,3389.420398727651,3221.9528687752004,3589.630889048145,3389.420398727651,3389.420398727651,23.73127769393832,23.73127769393832,23.73127769393832,23.73127769393832,23.73127769393832,23.73127769393832,0.0,0.0,0.0,3413.1516764215894
168,2021-11-19,3388.5334986673333,3235.816627843492,3575.3175337516686,3388.5334986673333,3388.5334986673333,17.417361652671143,17.417361652671143,17.417361652671143,17.417361652671143,17.417361652671143,17.417361652671143,0.0,0.0,0.0,3405.9508603200043
169,2021-11-22,3385.8727984863804,3213.6384883271294,3578.249590427653,3385.8727984863804,3385.8727984863804,15.795904411529735,15.795904411529735,15.795904411529735,15.795904411529735,15.795904411529735,15.795904411529735,0.0,0.0,0.0,3401.66870289791
170,2021-11-23,3384.985898426063,3234.528277761583,3586.5747089498414,3384.985898426063,3384.985898426063,24.87791117427373,24.87791117427373,24.87791117427373,24.87791117427373,24.87791117427373,24.87791117427373,0.0,0.0,0.0,3409.863809600337
171,2021-11-24,3382.767541708133,3223.849612823496,3588.765173052368,3382.767541708133,3382.767541708133,24.372997786575603,24.372997786575603,24.372997786575603,24.372997786575603,24.372997786575603,24.372997786575603,0.0,0.0,0.0,3407.1405394947087
172,2021-11-26,3378.330828272273,3229.9066404126806,3576.5908427799236,3378.330828272273,3378.330828272273,17.417361652839322,17.417361652839322,17.417361652839322,17.417361652839322,17.417361652839322,17.417361652839322,0.0,0.0,0.0,3395.748189925112
173,2021-11-29,3371.675758118482,3221.204491006734,3567.1807204460324,3371.675758118482,3371.675758118482,15.795904411622685,15.795904411622685,15.795904411622685,15.795904411622685,15.795904411622685,15.795904411622685,0.0,0.0,0.0,3387.471662530105
174,2021-11-30,3369.4574014005516,3205.877661731221,3564.200578527597,3369.4574014005516,3369.4574014005516,24.877911174284588,24.877911174284588,24.877911174284588,24.877911174284588,24.877911174284588,24.877911174284588,0.0,0.0,0.0,3394.3353125748363
175,2021-12-01,3367.2390446826216,3217.6457054053094,3558.9641959154897,3367.2390446826216,3367.2390446826216,24.372997786582623,24.372997786582623,24.372997786582623,24.372997786582623,24.372997786582623,24.372997786582623,0.0,0.0,0.0,3391.6120424692044
176,2021-12-02,3365.020687964691,3207.9402207489425,3560.9684370779637,3365.020687964691,3365.020687964691,23.731277693927765,23.731277693927765,23.731277693927765,23.731277693927765,23.731277693927765,23.731277693927765,0.0,0.0,0.0,3388.751965658619
177,2021-12-03,3362.8023312467612,3200.7006184421984,3559.816266866398,3362.8023312467612,3362.8023312467612,17.417361652791378,17.417361652791378,17.417361652791378,17.417361652791378,17.417361652791378,17.417361652791378,0.0,0.0,0.0,3380.2196928995527
178,2021-12-06,3356.1472610929704,3197.068583632385,3550.0277122591715,3356.1472610929704,3356.1472610929704,15.795904411630067,15.795904411630067,15.795904411630067,15.795904411630067,15.795904411630067,15.795904411630067,0.0,0.0,0.0,3371.9431655046005
179,2021-12-07,3352.7297969554825,3196.724379273774,3561.964934907307,3352.7297969554825,3352.7297969554825,24.87791117429378,24.87791117429378,24.87791117429378,24.87791117429378,24.87791117429378,24.87791117429378,0.0,0.0,0.0,3377.6077081297763
180,2021-12-08,3349.312332817994,3192.6319048729956,3558.7616995719304,3349.312332817994,3349.312332817994,24.372997786579226,24.372997786579226,24.372997786579226,24.372997786579226,24.372997786579226,24.372997786579226,0.0,0.0,0.0,3373.685330604573
181,2021-12-09,3345.8948686805056,3192.9920264065886,3537.709722592863,3345.8948686805056,3345.8948686805056,23.731277693941657,23.731277693941657,23.731277693941657,23.731277693941657,23.731277693941657,23.731277693941657,0.0,0.0,0.0,3369.626146374447
182,2021-12-10,3342.477404543017,3188.6438526657207,3530.6383441220255,3342.477404543017,3342.477404543017,17.417361652743445,17.417361652743445,17.417361652743445,17.417361652743445,17.417361652743445,17.417361652743445,0.0,0.0,0.0,3359.8947661957604
183,2021-12-13,3332.2250121305524,3170.3737497396132,3519.123335435818,3332.2250121305524,3332.2250121305524,15.795904411637432,15.795904411637432,15.795904411637432,15.795904411637432,15.795904411637432,15.795904411637432,0.0,0.0,0.0,3348.0209165421898
184,2021-12-14,3328.807547993064,3174.889028619533,3530.932646111075,3328.807547993064,3328.807547993064,24.87791117430463,24.87791117430463,24.87791117430463,24.87791117430463,24.87791117430463,24.87791117430463,0.0,0.0,0.0,3353.6854591673687
185,2021-12-15,3325.3900838555755,3175.1583483455292,3530.526004768614,3325.3900838555755,3325.3900838555755,24.372997786579504,24.372997786579504,24.372997786579504,24.372997786579504,24.372997786579504,24.372997786579504,0.0,0.0,0.0,3349.763081642155
186,2021-12-16,3321.9726197180876,3146.6631810287226,3522.693082741728,3321.9726197180876,3321.9726197180876,23.731277693955548,23.731277693955548,23.731277693955548,23.731277693955548,23.731277693955548,23.731277693955548,0.0,0.0,0.0,3345.7038974120433
187,2021-12-17,3317.8436961914085,3166.4151723107466,3514.3336864543935,3317.8436961914085,3317.8436961914085,17.41736165273371,17.41736165273371,17.41736165273371,17.41736165273371,17.41736165273371,17.41736165273371,0.0,0.0,0.0,3335.261057844142
188,2021-12-20,3305.456925611372,3148.3615201182483,3497.7247758409208,3305.456925611372,3305.456925611372,15.795904411730385,15.795904411730385,15.795904411730385,15.795904411730385,15.795904411730385,15.795904411730385,0.0,0.0,0.0,3321.2528300231024
